Question ID,Question,Category,Expected FAQ ID,Predicted FAQ ID,Similarity Score,Is Fallback,Predicted Answer,Evaluation Status,Latency (ms)
q_01,What is SafeX Solutions?,positive,faq_01,faq_01,1.0000,False,"SafeX Solutions is an innovative AI/ML development agency specializing in intelligent automated systems, custom software solutions, and talent development through academic and professional internship programs.",PASS,1.19
q_02,Who founded the company SafeX?,positive,faq_02,faq_02,0.7071,False,"SafeX Solutions was founded by Ateeq Ullah, who serves as the principal director guiding the company's research, client projects, and internship initiatives.",PASS,0.84
q_03,How long does the AI/ML internship last?,positive,faq_03,faq_03,0.6894,False,The AI/ML internship program at SafeX Solutions is typically structured as a 4-to-8 week program depending on the cohort guidelines. Week 1 is dedicated to building basic prototypes and establishing core software engineering practices.,PASS,0.97
q_04,What benefits do I get as an intern?,positive,faq_04,faq_04,0.5866,False,"The internship offers hands-on experience with real-world projects, direct mentorship from senior engineering leads, peer-programming opportunities, a professional internship completion certificate, and consideration for future full-time roles.",PASS,0.80
q_05,What is the policy for working from home?,positive,faq_05,faq_05,0.4322,False,SafeX Solutions offers a flexible hybrid model. Interns can collaborate remotely through standard Git-based workflows and join weekly on-site or virtual team meetings for progress reviews.,PASS,0.73
q_06,What are the daily hours at the office?,positive,faq_06,faq_06,0.8571,False,Official office hours are from 9:00 AM to 5:00 PM (Monday through Friday). Interns are expected to maintain regular communication on Slack/Teams and submit their weekly progress summaries by Thursday EOD.,PASS,0.70
q_07,How do you evaluate performance?,positive,faq_07,faq_07,0.6060,False,"Interns are evaluated based on code quality, alignment with software design principles, meeting delivery deadlines, regular weekly summary submissions, and their performance in the final cohort prototype presentation.",PASS,0.67
q_08,What is needed to get my internship completion certificate?,positive,faq_08,faq_08,0.6520,False,"To receive an internship completion certificate, interns must submit all weekly progress summaries, push functioning commits for their assigned modules, participate in peer review, and successfully demo their team's final product.",PASS,0.76
q_09,How can I contact the cohort leader?,positive,faq_09,faq_09,0.6520,False,"For administrative or project queries, you can contact the internship coordination desk at hr@safexsolutions.com or reach out directly to the cohort coordinator on the official messaging channel.",PASS,0.69
q_10,What programming languages and frameworks do you use?,positive,faq_10,faq_10,0.6591,False,"The technology stack focuses on Python core libraries, Streamlit for interactive UI prototyping, pandas/numpy for data handling, and scikit-learn/sentence-transformers for machine learning models and NLP features.",PASS,0.68
q_11,What is the monthly stipend or pay rate?,negative,None,None,0.0000,True,I couldn't find information about that. Please contact the SafeX team for further assistance.,PASS,0.64
q_12,Can you give me a recipe for cooking chocolate cake?,negative,None,None,0.0000,True,I couldn't find information about that. Please contact the SafeX team for further assistance.,PASS,0.76
